Title,imdbID,Rating,WatchedDate,Rewatch,Review
"WALL·E",tt0910970,5,2023-08-18,true,
"Mission: Impossible - Dead Reckoning Part One",tt9603212,4,2023-08-06,false,
"Barbie",tt1517268,5,2023-08-02,false,
"Upstream Color",tt2084989,4,2023-07-18,true,
"Parallel Mothers",tt12618926,3,2023-07-17,false,
"Cosmopolis",tt1480656,2,2023-07-13,false,"I didn't dislike this. I also didn't like it. It was a pain to get through but I think that's on purpose. This is only my second Cronenberg film which is surprising given how many times I've watched The Fly (1986). - Posted originally on: http://bnj.pw/r5Rr0"
"Tokyo!",tt0976060,3,2023-07-11,false,"Parts 1 and 3 were very interesting and different from each other while still feeling that they were about people. I'm glad I saw Holy Motors (2012) before this. I would not have wanted to see any more of &quot;Merde&quot; if this was my introduction to him. Bong Joon Ho's was my favorite of the three. - Posted originally on: http://bnj.pw/r5Rp0"
"In the Mood for Love",tt0118694,5,2023-07-08,false,
"Indiana Jones and the Temple of Doom",tt0087469,4,2023-06-27,true,
"Indiana Jones and the Raiders of the Lost Ark",tt0082971,5,2023-06-27,true,
"Fast X",tt5433140,2,2023-06-25,false,"Maybe X2 (XI, X part 2, X++?) will make this better? Too much setup for me though. - Posted originally on: http://bnj.pw/r5RZ0"
"BlackBerry",tt21867434,3,2023-06-19,false,"Now I really want to go to Waterloo - Posted originally on: http://bnj.pw/r5RT0"
"Mission: Impossible - Fallout",tt4912910,4.5,2023-06-16,true,"Just finished rewatching the series in preparation for Mission: Impossible - Dead Reckoning Part One. No matter how many times I rewatch them, it's always fun. While the first half of the series holds a special place in my heart, the second half really figured out how to build this universe and make it different than other action/spy movies. - Posted originally on: http://bnj.pw/r5RQ0"
"Mission: Impossible - Rogue Nation",tt2381249,4.5,2023-06-14,true,
"Mission: Impossible - Ghost Protocol",tt1229238,4.5,2023-06-13,true,
